id,TOSP code,TOSP Description,TOSP table no.,TOSP Common name,Setting,Ward Type,P25 Bill,P50 Bill,P75 Bill,P25 Operation Fee,P50 Operation Fee,P75 Operation Fee,P25 Surgeon Fee,P50 Surgeon Fee,P75 Surgeon Fee,P25 Anaesthetist Fee,P50 Anaesthetist Fee,P75 Anaesthetist Fee,P25 Facility Fee,P50 Facility Fee,P75 Facility Fee,P25 Implant Fee,P50 Implant Fee,P75 Implant Fee,P25 Other Fee,P50 Other Fee,P75 Other Fee
1,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Clinics,"1,456","2,099","3,532","1,070","1,605","3,210",952,"1,284","2,534",0,0,0,0,0,634,-,-,-,300,443,624
2,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Day Surgery,"3,373","4,755","6,496","2,652","3,842","5,309","1,284","2,140","3,000",0,0,669,"1,152","1,456","1,899",n/a,n/a,n/a,618,868,"1,239"
3,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Inpatient,"6,571","8,414","10,735","4,310","5,791","7,148","2,129","2,996","3,745",375,750,900,"1,691","2,131","2,715",-,-,-,"1,707","2,397","3,813"
4,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Clinics,958,"1,501","3,338",535,"1,070","2,996",535,856,"1,498",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,297,396,546
5,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Day Surgery,"3,068","4,143","5,226","2,377","3,223","4,257","1,156","1,926","2,140",0,0,450,"1,045","1,297","1,743",-,-,-,581,867,"1,116"
6,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Inpatient,"4,144","6,540","8,382","2,784","4,385","5,654","1,284","1,836","2,500",n/a,n/a,n/a,"1,356","1,771","2,344",-,-,-,"1,438","1,941","2,665"
7,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Clinics,"3,982","4,466","6,100","3,210","3,435","4,494","1,926","2,649","3,638",n/a,n/a,n/a,856,856,"1,284",-,-,-,797,"1,569","1,618"
8,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Day Surgery,"4,748","6,058","7,052","2,930","4,510","5,957","1,650","2,140","3,210",0,0,0,"1,168","1,693","3,033",n/a,n/a,n/a,629,921,"1,751"
9,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Inpatient,"6,532","7,716","8,661","3,581","4,695","6,215","2,140","2,675","3,210",n/a,n/a,n/a,"1,270","1,995","3,075",-,-,-,"1,691","2,248","3,448"
10,SA705B,"Breast, Lump, more than 4 cm (removal) with parenchymal flap closure (unilateral/bilateral)",4A,"Breast, removal of growth with wound closure (>4cm, one side or both sides) ",Private Hospitals/ Clinics,Inpatient,"13,281","18,688","24,859","9,502","13,488","16,080","4,687","6,420","8,560","1,124","1,678","2,000","3,864","4,270","5,108",n/a,n/a,n/a,"3,576","5,265","7,790"
